miRNA	transcript	r	p.value	number_of_cell_line	m_min	m_median	m_max	m_mean	t_min	t_median	t_max	t_mean
hsa-let-7a-1	MIRLET7A1HG	-0.153	0.0103	280	2356.279	7560.106	28394.12	8087.38458762887	0.340284	1.485404	17.663648	1.87628248453608
hsa-let-7a-2	MIR100HG	-0.0557	0.43	203	2306.184	7505.189	28296.9	8070.7326185567	0	0.104699	3.139443	0.251663797250859
hsa-let-7a-3	MIRLET7BHG	-0.128	0.0332	276	2397.598	7560.33	28375.59	8107.09909965636	0	0.148511	4.841676	0.218058048109966
hsa-let-7b	MIRLET7BHG	0.0625	0.308	268	2190.93	8215.223	128730.3	11956.6433127148	0	0.148511	4.841676	0.218058048109966
hsa-let-7c	MIR99AHG	0.644	4.47e-33	270	26.08716	443.7714	31586.74	713.169944226804	0	0.400184	50.913436	0.943476405498282
hsa-let-7d	MIRLET7A1HG	0.159	0.00858	274	168.4095	539.3938	10861.31	779.010768041237	0.340284	1.659825	20.128695	2.02726542955326
hsa-let-7e	SPACA6	-0.375	0.0378	31	109.5661	669.2707	3208.702	719.542802405498	0	0	0.173767	0.0079209587628866
hsa-let-7f-1	MIRLET7A1HG	-0.194	0.00133	270	164.5328	5115.16	15163.59	5291.94484707904	0.340284	1.659825	20.128695	2.02726542955326
hsa-let-7f-2	HUWE1	-0.0438	0.48	263	144.9096	5175.829	15452.9	5362.49617010309	0.505815	13.697155	65.843107	15.2413719381443
hsa-let-7g	WDR82	-0.0458	0.45	275	110.1917	587.6565	2130.011	632.065523024055	7.715592	36.301809	68.855783	36.6918699587629
hsa-let-7i	AC048341.1	-0.00953	0.873	283	144.2195	378.3545	1398.769	408.611201718213	0.029034	0.241646	4.830251	0.31067352233677
hsa-mir-1-1	MIR1-1HG	0.206	0.192	42	0	11.24306	285.9419	22.0181931168385	0	0	0.277743	0.0104647766323024
hsa-mir-1-2	MIR133A1HG	0.277	0.000323	164	0	11.50515	333.6599	23.5717726632302	0	0.005592	0.869639	0.0191100859106529
hsa-mir-100	MIR100HG	0.353	1.65e-07	209	114.4001	1690.441	9796.571	2026.88522749141	0	0.104699	3.139443	0.251663797250859
hsa-mir-101-1	JAK1	-0.185	0.0119	185	47.26268	2919.357	9332.292	3026.19853570447	0	0.070983	10.762969	0.262985171821306
hsa-mir-101-2	RCL1	0.126	0.041	265	47.26268	2962.457	9479.134	3064.2393433677	2.184691	14.247797	33.228975	14.4854175154639
hsa-mir-103a-1	PANK3	0.0732	0.227	274	1611.988	8198.759	24462.3	8930.88315463918	1.961064	10.102653	58.501926	11.545510209622
hsa-mir-103a-2	PANK2	0.211	0.000346	283	1585.113	8103.771	24329.8	8947.33068041237	1.10609	14.094199	33.878977	14.3469442920962
hsa-mir-105-1	GABRA3	0.841	1.71e-36	132	0	0.211088	201.0651	7.0025398556701	0	0.009217	6.463417	0.236190089347079
hsa-mir-105-2	GABRA3	0.849	1.27e-37	131	0	0.162564	200.5388	6.90672734364261	0	0.009217	6.463417	0.236190089347079
hsa-mir-106a	AC002407.1	-0.096	0.655	24	0.829223	9.809035	348.094	17.3016586323024	0	0	0.100323	0.00109115120274914
hsa-mir-106b	MCM7	0.279	2.85e-06	273	122.1415	584.6984	2356.627	667.204296219931	7.196918	112.79431	283.709424	116.915705621993
hsa-mir-107	PANK1	0.153	0.0106	280	16.17289	65.60497	229.1155	72.0228185910653	0.959784	9.641054	50.158935	10.7943251065292
hsa-mir-10a	AC103702.1	0.466	1.21e-14	246	1066.146	66070.9	300544.1	79337.1903505155	0	0.041885	12.94174	0.21832693814433
hsa-mir-10a	HOXB3	0.554	1.98e-23	274	1066.146	66070.9	300544.1	79337.1903505155	0	3.09215	49.883124	4.87731251890034
hsa-mir-10b	HOXD3	0.379	0.109	19	2047.612	33012.09	210410	37839.8699690722	0	0	1.141081	0.0175778591065292
hsa-mir-1178	CIT	0.939	0.223	3	0	0	0.232061	0.00180031271477663	0.354138	3.851252	21.86146	4.25600539175258
hsa-mir-1180	B9D1	0.406	2.99e-12	273	0.935736	11.41654	208.154	18.9445921958763	0.646194	10.153045	48.886192	11.8343792611684
hsa-mir-1181	CDC37	0.0258	0.705	218	0	0.36001	4.402823	0.570515226804124	7.47998	167.23519	375.046044	165.189835828179
hsa-mir-1182	FAM89A	-0.371	0.758	3	0	0	0.684748	0.00377820962199313	0.207375	8.453749	29.476311	8.85624203780069
hsa-mir-1183	SP4	NA	NA	NA	0	0	0	0	0.215755	1.262577	5.85484	1.40785002749141
hsa-mir-1184-1	F8	NA	NA	NA	0	0	0.34907	0.00119955326460481	0	0.065526	1.753717	0.141813371134021
